imo,neo_transit,direction,grp,StandardVesselType,GrossTonnage,lock_in,lock_out,anchoring_in,anchoring_out,direct_transit,waiting_time,service_time
1005435.0,0,South,1,Yacht,499.0,2023-06-15 19:53:55,2023-06-16 03:27:04,2023-06-15 18:00:00,2023-06-15 18:20:00,True,0.3333333333333333,7.5525
1006207.0,0,North,1,Yacht,2610.0,2024-04-14 23:10:10,2024-04-15 05:50:18,2024-04-05 13:20:00,2024-04-14 22:10:00,True,224.83333333333334,6.668888888888889
1006594.0,0,North,1,Yacht,283.0,2023-11-08 09:31:35,2023-11-08 18:27:09,2023-11-04 15:30:00,2023-11-04 15:50:00,True,0.3333333333333333,8.926111111111112
1006594.0,0,North,2,Yacht,283.0,2024-08-11 00:07:30,2024-08-11 06:18:58,2024-08-08 12:30:00,2024-08-10 20:20:00,True,55.833333333333336,6.191111111111111
1006594.0,0,South,1,Yacht,283.0,2024-05-20 19:19:07,2024-05-21 03:57:01,2024-05-18 06:20:00,2024-05-20 16:20:00,True,58.0,8.631666666666666
1006594.0,0,South,2,Yacht,283.0,2024-08-23 22:56:12,2024-08-25 03:08:35,2024-08-23 12:50:00,2024-08-23 21:40:00,True,8.833333333333334,28.20638888888889
1006738.0,0,North,1,Yacht,568.0,2022-12-03 02:02:27,2022-12-03 08:34:44,2022-12-02 12:50:00,2022-12-03 00:30:00,True,11.666666666666666,6.538055555555555
1006738.0,0,South,1,Yacht,568.0,2023-09-01 22:45:37,2023-09-02 07:06:36,2023-09-01 18:10:00,2023-09-01 20:00:00,True,1.8333333333333333,8.349722222222223
1007017.0,0,North,1,Yacht,1099.0,2023-04-14 01:50:27,2023-04-14 08:52:50,2023-04-14 00:30:00,2023-04-14 00:30:00,True,0.0,7.039722222222222
1007017.0,0,South,1,Yacht,1099.0,2023-02-02 21:19:09,2023-02-03 04:31:03,2023-01-29 19:00:00,2023-02-02 20:10:00,True,97.16666666666667,7.198333333333333
1007495.0,0,North,1,Yacht,909.0,2023-05-30 23:41:49,2023-05-31 06:18:15,2023-05-26 20:00:00,2023-05-28 21:20:00,True,49.333333333333336,6.607222222222222
1007495.0,0,South,1,Yacht,909.0,2023-01-15 20:03:03,2023-01-16 03:54:32,2023-01-15 16:50:00,2023-01-15 19:10:00,True,2.3333333333333335,7.858055555555556
1007495.0,0,South,2,Yacht,909.0,2024-09-16 20:37:15,2024-09-17 03:21:48,2024-09-14 11:30:00,2024-09-16 18:00:00,True,54.5,6.7425
1007770.0,0,South,1,Yacht,499.0,2024-03-28 19:37:26,2024-03-29 02:17:58,2024-03-28 18:40:00,2024-03-28 18:40:00,True,0.0,6.6755555555555555
1008138.0,0,North,1,Yacht,1495.0,,2023-02-15 05:01:36,2023-02-12 16:10:00,2023-02-12 17:10:00,True,1.0,
1008956.0,0,South,1,Yacht,498.0,2024-03-10 21:39:13,2024-03-11 05:30:24,2024-03-10 20:30:00,2024-03-10 20:30:00,True,0.0,7.853055555555556
1008994.0,0,North,1,Yacht,1557.0,2024-04-06 00:30:14,2024-04-06 07:04:04,2024-04-01 23:10:00,2024-04-05 22:50:00,True,95.66666666666667,6.563888888888889
1008994.0,0,South,1,Yacht,1557.0,2024-02-02 12:40:29,2024-02-02 20:56:39,2024-02-01 00:10:00,2024-02-02 11:00:00,True,34.833333333333336,8.269444444444444
1009168.0,0,North,1,Yacht,812.0,2023-11-11 02:13:18,2023-11-11 09:16:22,2023-11-11 00:40:00,2023-11-11 00:50:00,True,0.16666666666666666,7.051111111111111
1009168.0,0,South,1,Yacht,812.0,2023-01-13 22:20:25,2023-01-14 05:53:31,,,True,,7.551666666666667
1009170.0,0,North,1,Yacht,1099.0,2023-01-03 23:59:48,2023-01-04 06:44:58,2023-01-03 06:30:00,2023-01-03 23:00:00,True,16.5,6.752777777777778
1009170.0,0,North,2,Yacht,1099.0,2024-04-29 23:28:03,2024-04-30 06:10:03,2024-04-28 14:20:00,2024-04-29 22:10:00,True,31.833333333333332,6.7
1009170.0,0,South,1,Yacht,1099.0,2023-12-08 20:19:38,2023-12-09 03:31:39,2023-12-08 08:30:00,2023-12-08 19:20:00,True,10.833333333333334,7.200277777777778
1009326.0,0,North,1,Yacht,499.0,2022-12-11 00:11:39,2022-12-11 06:01:03,2022-12-10 12:30:00,2022-12-10 23:00:00,True,10.5,5.823333333333333
1009326.0,0,North,2,Yacht,499.0,2024-01-30 22:54:18,2024-01-31 06:44:17,2024-01-30 19:40:00,2024-01-30 21:40:00,True,2.0,7.833055555555555
1009326.0,0,South,1,Yacht,499.0,2023-10-05 20:16:28,2023-10-06 05:10:31,2023-10-03 17:10:00,2023-10-05 19:10:00,True,50.0,8.900833333333333
1009481.0,0,North,1,Yacht,2054.0,2023-09-24 00:10:36,2023-09-24 07:48:43,2023-09-20 17:00:00,2023-09-21 19:50:00,True,26.833333333333332,7.635277777777778
1009481.0,0,South,1,Yacht,2054.0,,2023-02-15 04:04:45,2023-02-13 15:10:00,2023-02-14 04:50:00,True,13.666666666666666,
1009601.0,0,North,1,Yacht,380.0,2023-10-31 01:31:47,2023-10-31 08:09:43,2023-10-30 10:50:00,2023-10-31 00:10:00,True,13.333333333333334,6.6322222222222225
1009601.0,0,South,1,Yacht,380.0,2023-05-26 12:04:01,2023-05-26 21:53:06,2023-05-26 09:30:00,2023-05-26 11:20:00,True,1.8333333333333333,9.818055555555556
1009601.0,0,South,2,Yacht,380.0,2024-08-09 22:27:53,2024-08-10 04:14:34,2024-08-06 17:30:00,2024-08-09 21:10:00,True,75.66666666666667,5.7780555555555555
1009699.0,0,North,1,Yacht,2334.0,2023-03-14 00:51:32,2023-03-14 07:36:06,2023-03-12 13:40:00,2023-03-13 23:20:00,True,33.666666666666664,6.7427777777777775
1009950.0,0,South,1,Yacht,135.0,2023-03-26 00:55:52,2023-03-26 20:16:15,2023-03-25 22:00:00,2023-03-25 23:00:00,True,1.0,19.33972222222222
1009962.0,0,North,1,Yacht,2998.0,2023-05-23 23:59:57,2023-05-24 07:12:54,2023-05-21 02:20:00,2023-05-21 22:20:00,True,20.0,7.215833333333333
1009962.0,0,South,1,Yacht,2998.0,2023-02-09 21:12:44,2023-02-10 05:30:52,2023-02-06 12:00:00,2023-02-09 19:30:00,True,79.5,8.302222222222222
1009962.0,0,South,2,Yacht,2998.0,2024-09-29 20:43:47,2024-09-30 03:40:13,2024-09-28 16:30:00,2024-09-29 19:40:00,True,27.166666666666668,6.940555555555555
1010105.0,0,South,1,Yacht,480.0,2023-03-20 20:58:57,2023-03-23 06:45:39,2023-03-20 19:20:00,2023-03-20 19:50:00,False,0.5,57.778333333333336
1010129.0,0,North,1,Yacht,2205.0,2023-04-26 00:28:03,2023-04-26 07:08:12,2023-04-20 10:50:00,2023-04-25 23:10:00,True,132.33333333333334,6.6691666666666665
1010129.0,0,South,1,Yacht,2205.0,2023-02-20 23:04:23,2023-02-21 05:44:13,2023-02-19 11:40:00,2023-02-20 21:10:00,True,33.5,6.663888888888889
1010167.0,0,South,1,Yacht,4447.0,2023-01-24 21:11:11,2023-01-25 04:22:21,2023-01-23 16:00:00,2023-01-24 20:10:00,True,28.166666666666668,7.186111111111111
1010179.0,0,South,1,Yacht,1090.0,2024-04-10 19:35:05,2024-04-11 05:26:06,,,True,,9.850277777777778
1010208.0,0,North,1,Yacht,645.0,2024-03-26 23:54:20,2024-03-27 06:15:01,2024-03-26 00:20:00,2024-03-26 04:50:00,True,4.5,6.344722222222222
1010208.0,0,South,1,Yacht,645.0,2023-04-14 20:46:09,2023-04-15 03:33:09,2023-04-13 09:30:00,2023-04-14 19:10:00,True,33.666666666666664,6.783333333333333
1010399.0,0,North,1,Yacht,243.0,2023-05-02 00:11:20,2023-05-02 06:27:22,2023-05-01 19:10:00,2023-05-01 22:00:00,True,2.8333333333333335,6.267222222222222
1010454.0,0,North,1,Yacht,833.0,2024-05-10 22:22:15,2024-05-11 05:07:05,2024-05-06 00:50:00,2024-05-06 01:40:00,True,0.8333333333333334,6.747222222222222
1010454.0,0,South,1,Yacht,833.0,2023-03-02 21:36:01,2023-03-03 04:07:02,,,True,,6.516944444444444
1010521.0,0,South,1,Yacht,485.0,2024-03-10 01:00:51,2024-03-11 05:47:48,,,True,,28.7825
1010698.0,0,North,1,Yacht,1608.0,2024-08-15 00:40:26,2024-08-15 07:50:40,2024-08-13 23:00:00,2024-08-14 19:10:00,True,20.166666666666668,7.170555555555556
1010894.0,0,North,1,Yacht,492.0,2023-05-24 12:09:58,2023-05-24 20:42:50,2023-05-19 05:30:00,2023-05-23 20:30:00,True,111.0,8.547777777777778
1010894.0,0,South,1,Yacht,492.0,2023-02-02 13:07:17,2023-02-02 20:14:08,2023-01-31 11:00:00,2023-02-02 12:00:00,True,49.0,7.114166666666667
1011109.0,0,South,1,Yacht,2114.0,2023-03-27 22:13:06,2023-03-28 06:52:46,2023-03-27 12:30:00,2023-03-27 20:40:00,True,8.166666666666666,8.661111111111111
1011238.0,0,North,1,Yacht,496.0,2023-04-23 00:19:59,2023-04-23 08:07:26,2023-04-22 11:10:00,2023-04-22 14:40:00,True,3.5,7.7908333333333335
1011238.0,0,South,1,Yacht,496.0,2023-01-18 22:56:00,2023-01-19 05:47:42,2023-01-18 16:50:00,2023-01-18 19:40:00,True,2.8333333333333335,6.861666666666666
1011836.0,0,North,1,Yacht,1876.0,2024-06-10 00:58:15,2024-06-10 07:55:08,2024-06-06 10:30:00,2024-06-06 19:00:00,True,8.5,6.948055555555555
1011836.0,0,South,1,Yacht,1876.0,2023-02-27 20:43:05,2023-02-28 03:57:47,2023-02-27 12:20:00,2023-02-27 19:40:00,True,7.333333333333333,7.245
1011953.0,0,South,1,Yacht,670.0,2023-04-27 20:24:26,2023-04-28 04:19:51,2023-04-27 14:50:00,2023-04-27 19:10:00,True,4.333333333333333,7.923611111111111
1012919.0,0,North,1,Yacht,2946.0,2023-03-13 12:59:22,2023-03-13 20:35:14,2023-03-12 21:20:00,2023-03-13 12:10:00,True,14.833333333333334,7.597777777777778
1012919.0,0,South,1,Yacht,2946.0,2023-02-10 20:21:25,2023-02-11 03:32:27,2023-02-10 13:00:00,2023-02-10 19:00:00,True,6.0,7.183888888888889
1013004.0,0,South,1,Yacht,3471.0,2024-06-18 18:56:40,2024-06-19 03:17:43,2024-06-17 13:20:00,2024-06-18 18:10:00,True,28.833333333333332,8.350833333333334
1013078.0,0,North,1,Yacht,1584.0,2024-03-20 05:03:23,2024-03-21 01:05:14,2024-03-18 19:10:00,2024-03-20 02:20:00,True,31.166666666666668,20.030833333333334
1013157.0,0,South,1,Yacht,1347.0,2023-05-24 20:57:28,2023-05-25 05:19:10,2023-05-23 15:20:00,2023-05-24 19:30:00,True,28.166666666666668,8.361666666666666
1014618.0,0,North,1,Bulk carrier,24595.0,2024-09-12 09:19:42,2024-09-12 17:22:41,2024-09-10 18:00:00,2024-09-12 08:00:00,True,38.0,8.049722222222222
1018080.0,0,North,1,General cargo,5180.0,2023-09-24 00:37:14,2023-09-24 07:53:41,2023-09-17 09:20:00,2023-09-23 23:30:00,True,158.16666666666666,7.274166666666667
1029455.0,0,North,1,Bulk carrier,35947.0,2024-09-20 09:02:19,2024-09-20 17:48:34,2024-09-19 10:40:00,2024-09-20 08:00:00,True,21.333333333333332,8.770833333333334
4601008.0,0,North,1,Miscellaneous-other,0.0,2024-08-23 23:09:56,2024-08-24 06:14:02,2024-08-23 13:40:00,2024-08-23 22:10:00,True,8.5,7.068333333333333
4702527.0,0,South,1,Miscellaneous-other,7371.0,,2024-03-25 05:00:06,2024-03-23 14:50:00,2024-03-23 20:10:00,True,5.333333333333333,
5038911.0,0,North,1,Yacht,683.0,2023-07-17 01:06:59,2023-07-18 08:16:32,2023-07-01 00:10:00,2023-07-16 16:10:00,True,376.0,31.159166666666668
5338892.0,0,South,1,Service-tug,192.0,2024-08-28 20:57:16,2024-08-29 03:57:21,2024-08-01 00:10:00,2024-08-28 19:30:00,True,667.3333333333334,7.001388888888889
5375010.0,0,South,1,Yacht,284.0,2023-06-23 13:27:21,2023-06-23 21:35:40,2023-06-18 15:10:00,2023-06-23 12:10:00,True,117.0,8.13861111111111
6520911.0,0,South,1,Miscellaneous-other,16808.0,2023-01-12 00:03:05,2023-01-12 06:46:45,2023-01-08 15:10:00,2023-01-11 22:40:00,True,79.5,6.727777777777778
6520911.0,0,South,2,Miscellaneous-other,16808.0,2023-06-22 13:40:26,2023-06-22 21:34:23,,,True,,7.899166666666667
6605022.0,0,North,1,Miscellaneous-other,16808.0,2024-09-23 00:55:25,2024-09-23 07:59:24,2024-09-21 00:00:00,2024-09-22 23:40:00,True,47.666666666666664,7.066388888888889
6605022.0,0,South,1,Miscellaneous-other,16808.0,2023-06-06 13:21:13,2023-06-06 20:24:13,2023-06-05 23:30:00,2023-06-06 12:10:00,True,12.666666666666666,7.05
6816906.0,0,North,1,Bulk carrier,1972.0,2024-02-23 23:50:19,2024-02-24 07:34:53,2024-02-21 11:30:00,2024-02-23 22:20:00,True,58.833333333333336,7.7427777777777775
6816906.0,0,South,1,Bulk carrier,1972.0,2023-01-24 21:29:26,2023-01-25 04:26:31,2023-01-19 18:00:00,2023-01-24 20:20:00,True,122.33333333333333,6.951388888888889
7121138.0,0,North,1,Miscellaneous-fishing,916.0,2023-11-04 23:30:52,2023-11-05 06:29:30,2023-11-04 16:40:00,2023-11-04 22:20:00,True,5.666666666666667,6.977222222222222
7121138.0,0,South,1,Miscellaneous-fishing,916.0,2024-08-16 20:37:55,2024-08-17 04:19:37,2024-08-13 01:10:00,2024-08-16 18:30:00,True,89.33333333333333,7.695
7121140.0,0,North,1,Miscellaneous-other,2257.0,,2024-02-22 08:02:13,2024-02-21 16:30:00,2024-02-21 23:00:00,True,6.5,
7121140.0,0,South,1,Miscellaneous-other,2257.0,2023-05-09 21:31:12,2023-05-10 04:43:14,2023-05-09 18:40:00,2023-05-09 20:30:00,True,1.8333333333333333,7.200555555555556
7123485.0,0,North,1,Miscellaneous-fishing,1318.0,2023-06-11 22:32:28,2023-06-12 05:56:12,2023-06-07 21:40:00,2023-06-10 16:20:00,True,66.66666666666667,7.395555555555555
7123485.0,0,South,1,Miscellaneous-fishing,1318.0,2023-07-13 21:03:05,2023-07-14 04:10:43,2023-07-11 11:50:00,2023-07-13 20:00:00,True,56.166666666666664,7.127222222222223
7123485.0,0,South,2,Miscellaneous-fishing,1318.0,2022-12-15 20:55:39,2022-12-16 08:28:37,,,True,,11.549444444444445
7210783.0,0,North,1,Service-tug,382.0,2024-09-18 12:01:44,2024-09-18 19:38:28,2024-09-08 10:30:00,2024-09-18 10:40:00,True,240.16666666666666,7.612222222222222
7233644.0,0,South,1,Miscellaneous-other,552.0,2023-04-14 21:46:49,2023-04-16 05:38:50,2023-04-09 00:10:00,2023-04-14 20:00:00,True,139.83333333333334,31.866944444444446
7303205.0,0,North,1,Miscellaneous-other,48635.0,2024-06-22 11:27:40,2024-06-22 19:51:50,2024-06-21 16:30:00,2024-06-22 09:50:00,True,17.333333333333332,8.402777777777779
7303982.0,0,North,1,Miscellaneous-fishing,1428.0,2022-12-20 22:36:13,2022-12-21 05:10:19,2022-12-16 13:00:00,2022-12-20 21:10:00,True,104.16666666666667,6.568333333333333
7303982.0,0,North,2,Miscellaneous-fishing,1428.0,2023-03-26 00:23:34,2023-03-26 06:45:19,2023-03-22 11:00:00,2023-03-25 22:40:00,True,83.66666666666667,6.3625
7303982.0,0,North,3,Miscellaneous-fishing,1428.0,2023-06-22 23:23:35,2023-06-23 07:15:35,2023-06-19 16:30:00,2023-06-22 22:20:00,True,77.83333333333333,7.866666666666666
7303982.0,0,North,4,Miscellaneous-fishing,1428.0,2023-09-18 00:25:45,2023-09-18 07:17:28,2023-09-11 00:50:00,2023-09-17 23:20:00,True,166.5,6.861944444444444
7303982.0,0,North,5,Miscellaneous-fishing,1428.0,2024-04-30 22:34:14,2024-05-01 05:24:30,2024-04-26 18:00:00,2024-04-30 21:10:00,True,99.16666666666667,6.837777777777778
7303982.0,0,North,6,Miscellaneous-fishing,1428.0,2024-07-23 23:49:30,2024-07-24 06:07:25,2024-07-22 10:40:00,2024-07-23 22:30:00,True,35.833333333333336,6.298611111111111
7303982.0,0,South,1,Miscellaneous-fishing,1428.0,2023-01-12 20:49:25,2023-01-13 03:31:29,2023-01-08 23:00:00,2023-01-12 19:30:00,True,92.5,6.7011111111111115
7303982.0,0,South,2,Miscellaneous-fishing,1428.0,2023-04-10 22:17:09,2023-04-11 05:14:14,2023-04-10 21:00:00,2023-04-10 21:00:00,True,0.0,6.951388888888889
7303982.0,0,South,3,Miscellaneous-fishing,1428.0,2024-01-24 20:24:03,2024-01-25 03:40:05,2024-01-16 01:00:00,2024-01-24 19:30:00,True,210.5,7.267222222222222
7303982.0,0,South,4,Miscellaneous-fishing,1428.0,2024-05-26 20:20:35,2024-05-30 07:48:37,2024-05-22 02:20:00,2024-05-26 19:20:00,False,113.0,83.46722222222222
7303982.0,0,South,5,Miscellaneous-fishing,1428.0,2023-07-12 22:21:38,2023-07-13 04:58:10,,,True,,6.608888888888889
7313535.0,0,North,1,Miscellaneous-fishing,971.0,2023-07-23 23:35:47,2023-07-24 06:04:05,2023-07-20 13:30:00,2023-07-23 22:20:00,True,80.83333333333333,6.471666666666667
7313535.0,0,North,2,Miscellaneous-fishing,971.0,2023-11-21 22:56:10,2023-11-22 05:45:40,2023-11-21 10:00:00,2023-11-21 21:30:00,True,11.5,6.825
7313535.0,0,North,3,Miscellaneous-fishing,971.0,2024-01-14 23:33:00,2024-01-15 21:42:34,2024-01-12 01:50:00,2024-01-14 21:30:00,True,67.66666666666667,22.159444444444443
7313535.0,0,North,4,Miscellaneous-fishing,971.0,2024-04-25 00:27:23,2024-04-25 07:06:02,2024-04-21 03:00:00,2024-04-24 22:50:00,True,91.83333333333333,6.644166666666667
7313535.0,0,North,5,Miscellaneous-fishing,971.0,2024-07-19 01:30:33,2024-07-19 07:57:00,2024-07-15 03:30:00,2024-07-18 23:50:00,True,92.33333333333333,6.440833333333333
7313535.0,0,South,1,Miscellaneous-fishing,971.0,2023-05-18 19:21:50,2023-05-19 04:17:08,2023-05-15 18:50:00,2023-05-18 18:20:00,True,71.5,8.921666666666667
7313535.0,0,South,2,Miscellaneous-fishing,971.0,2023-10-11 20:15:28,2023-10-12 04:40:09,2023-10-08 11:30:00,2023-10-11 19:20:00,True,79.83333333333333,8.411388888888888
7313535.0,0,South,3,Miscellaneous-fishing,971.0,2023-12-07 19:57:41,2023-12-08 02:30:01,2023-12-01 22:40:00,2023-12-07 19:10:00,True,140.5,6.538888888888889
7313535.0,0,South,4,Miscellaneous-fishing,971.0,2024-01-31 20:49:10,2024-02-01 04:33:30,2024-01-27 01:10:00,2024-01-31 19:30:00,True,114.33333333333333,7.738888888888889
7313535.0,0,South,5,Miscellaneous-fishing,971.0,2024-05-15 23:39:41,2024-05-16 06:19:01,,,True,,6.655555555555556
7333250.0,0,North,1,Miscellaneous-fishing,1574.0,2023-08-10 00:51:14,2023-08-10 07:05:22,2023-08-07 00:50:00,2023-08-09 23:40:00,True,70.83333333333333,6.235555555555556
7333250.0,0,South,1,Miscellaneous-fishing,1574.0,2024-01-25 20:45:16,2024-01-28 06:57:13,2024-01-21 22:30:00,2024-01-25 19:40:00,False,93.16666666666667,58.19916666666666
7360655.0,0,South,1,Miscellaneous-other,488.0,2023-10-27 20:40:39,2023-10-28 05:52:45,2023-10-27 15:10:00,2023-10-27 19:50:00,True,4.666666666666667,9.201666666666666
7362081.0,0,North,1,Service-other,3128.0,2022-12-04 02:49:23,2022-12-04 11:34:03,2022-12-01 18:10:00,2022-12-04 01:20:00,False,55.166666666666664,8.744444444444444
7362081.0,0,South,1,Service-other,3128.0,2023-09-15 21:10:29,2023-09-17 01:55:44,,,True,,28.754166666666666
7367275.0,0,North,1,Oil tanker,3462.0,2023-04-06 03:28:52,2023-04-06 12:22:53,2023-03-30 03:10:00,2023-04-06 01:50:00,True,166.66666666666666,8.900277777777777
7367275.0,0,South,1,Oil tanker,3462.0,2023-06-13 22:56:33,2023-06-14 23:36:15,2023-06-11 05:40:00,2023-06-13 22:00:00,False,64.33333333333333,24.661666666666665
7382902.0,0,North,1,Yacht,1017.0,2023-03-31 00:13:16,2023-03-31 06:44:29,2023-03-29 09:00:00,2023-03-30 23:00:00,True,38.0,6.520277777777777
7382902.0,0,North,2,Yacht,1017.0,2024-04-14 00:10:25,2024-04-14 08:00:21,2024-04-11 09:30:00,2024-04-11 17:50:00,True,8.333333333333334,7.832222222222223
7382902.0,0,South,1,Yacht,1017.0,2023-03-21 20:05:17,2023-03-22 04:07:52,2023-03-19 12:10:00,2023-03-21 19:10:00,True,55.0,8.043055555555556
7382902.0,0,South,2,Yacht,1017.0,2023-07-20 23:18:47,2023-07-21 05:47:24,2023-07-15 22:50:00,2023-07-20 21:50:00,True,119.0,6.476944444444444
7390624.0,0,South,1,Offshore,791.0,2022-12-02 20:32:51,2022-12-03 03:43:14,,,False,,7.173055555555556
7398573.0,0,North,1,Service-tug,387.0,2022-12-31 12:54:01,2023-01-01 21:07:23,2022-12-31 00:10:00,2022-12-31 11:40:00,True,11.5,32.22277777777778
7398573.0,0,North,2,Service-tug,387.0,2023-08-28 13:21:50,2023-08-31 21:31:13,2023-08-14 08:20:00,2023-08-28 12:10:00,False,339.8333333333333,80.15638888888888
7398573.0,0,North,3,Service-tug,387.0,2024-05-11 12:59:13,2024-05-12 17:39:04,2024-05-02 21:10:00,2024-05-11 10:30:00,True,205.33333333333334,28.664166666666667
7398573.0,0,South,1,Service-tug,387.0,2024-01-18 13:38:12,2024-01-20 21:12:11,2024-01-05 05:50:00,2024-01-18 12:20:00,False,318.5,55.56638888888889
7398573.0,0,South,2,Service-tug,387.0,2024-07-31 13:11:47,2024-08-01 21:25:04,2024-07-31 11:40:00,2024-07-31 11:40:00,True,0.0,32.22138888888889
7398573.0,0,South,3,Service-tug,387.0,2023-07-05 19:17:41,2023-07-07 21:18:03,,,False,,50.00611111111111
7404047.0,0,North,1,Miscellaneous-other,485.0,2022-12-11 12:58:14,2022-12-11 20:53:55,2022-12-04 09:10:00,2022-12-11 11:40:00,True,170.5,7.928055555555556
7404047.0,0,North,2,Miscellaneous-other,485.0,2023-05-11 12:59:33,2023-05-12 21:21:05,2023-05-05 14:10:00,2023-05-11 11:40:00,True,141.5,32.35888888888889
7404047.0,0,South,1,Miscellaneous-other,485.0,2023-01-27 13:13:50,2023-01-30 20:58:45,2023-01-18 13:10:00,2023-01-27 12:20:00,False,215.16666666666666,79.74861111111112
7407908.0,0,North,1,Miscellaneous-fishing,1362.0,2023-01-06 00:08:00,2023-01-06 06:30:22,2023-01-03 00:10:00,2023-01-05 22:50:00,True,70.66666666666667,6.372777777777777
7407908.0,0,South,1,Miscellaneous-fishing,1362.0,2023-02-25 21:11:41,2023-02-26 05:04:30,2023-02-23 11:10:00,2023-02-25 20:10:00,True,57.0,7.880277777777778
7412147.0,0,South,1,Offshore,672.0,2023-06-01 21:32:51,2023-06-02 04:17:24,2023-05-26 19:30:00,2023-06-01 20:20:00,True,144.83333333333334,6.7425
7435278.0,0,North,1,Miscellaneous-fishing,1184.0,2023-04-26 22:47:06,2023-04-27 05:47:04,2023-04-21 19:20:00,2023-04-26 21:00:00,True,121.66666666666667,6.999444444444444
7435278.0,0,North,2,Miscellaneous-fishing,1184.0,2023-07-21 21:24:10,2023-07-22 04:48:17,2023-07-19 19:40:00,2023-07-21 20:00:00,True,48.333333333333336,7.401944444444444
7435278.0,0,North,3,Miscellaneous-fishing,1184.0,2023-12-05 23:23:44,2023-12-06 06:17:36,2023-12-02 09:10:00,2023-12-05 21:40:00,True,84.5,6.897777777777778
7435278.0,0,North,4,Miscellaneous-fishing,1184.0,2024-02-29 23:35:06,2024-03-01 05:42:20,2024-02-26 18:30:00,2024-02-29 22:00:00,True,75.5,6.120555555555556
7435278.0,0,North,5,Miscellaneous-fishing,1184.0,2024-05-19 03:34:05,2024-05-19 10:53:02,2024-05-17 06:30:00,2024-05-19 01:30:00,True,43.0,7.315833333333333
7435278.0,0,North,6,Miscellaneous-fishing,1184.0,2024-07-31 23:34:52,2024-08-01 07:14:05,2024-07-29 23:10:00,2024-07-31 22:30:00,True,47.333333333333336,7.653611111111111
7435278.0,0,South,1,Miscellaneous-fishing,1184.0,2023-05-09 21:20:26,2023-05-10 04:36:38,2023-05-06 20:20:00,2023-05-09 20:30:00,True,72.16666666666667,7.27
7435278.0,0,South,2,Miscellaneous-fishing,1184.0,2023-12-22 21:11:25,2023-12-23 04:11:36,2023-12-15 03:40:00,2023-12-22 20:00:00,True,184.33333333333334,7.003055555555555
7435278.0,0,South,3,Miscellaneous-fishing,1184.0,2024-03-31 20:20:08,2024-04-01 03:35:10,2024-03-24 22:50:00,2024-03-31 18:50:00,True,164.0,7.250555555555556
7435278.0,0,South,4,Miscellaneous-fishing,1184.0,2024-06-13 21:07:09,2024-06-14 05:01:11,2024-06-10 20:40:00,2024-06-13 20:00:00,True,71.33333333333333,7.900555555555556
7435278.0,0,South,5,Miscellaneous-fishing,1184.0,2023-09-28 19:33:38,2023-09-29 04:25:05,,,True,,8.8575
7508910.0,0,North,1,Miscellaneous-fishing,1197.0,2023-03-23 02:14:41,2023-03-23 08:53:49,2023-03-20 12:20:00,2023-03-23 00:40:00,True,60.333333333333336,6.652222222222222
